step,sim_time,dt,advance_wall_time,reaction_wall_time,cumulative_wall_time
317,0.02652229666,0.0001388664195,0.249903953,0.152606568,78.51898186899999
318,0.02666116308,0.0001389521035,0.24524251,0.147512501,78.76422437899998
319,0.02680011518,0.0001390424483,0.24532959,0.148423507,79.00955396899998
320,0.02693915763,0.0001391382865,0.245077304,0.148251332,79.25463127299999
321,0.02707829592,0.0001392288789,0.245273777,0.148541224,79.49990504999998
322,0.0272175248,0.0001392835116,0.244964024,0.148363246,79.74486907399998
323,0.02735680831,0.0001393393837,0.24484511,0.1481791,79.98971418399998
324,0.02749614769,0.0001393975429,0.245833385,0.148363728,80.23554756899998
325,0.02763554523,0.0001394560907,0.244832181,0.148228566,80.48037974999998
326,0.02777500132,0.0001395153733,0.245528681,0.14881327,80.72590843099998
327,0.0279145167,0.0001395759509,0.245757196,0.148435559,80.97166562699998
328,0.02805409265,0.0001396383901,0.245047481,0.147873782,81.21671310799998
329,0.02819373104,0.0001397033945,0.245576552,0.14859930300000002,81.46228965999998
330,0.02833343443,0.0001397716805,0.245528823,0.14812206,81.70781848299998
331,0.02847320611,0.0001398439586,0.245878816,0.148740598,81.95369729899998
332,0.02861305007,0.0001399209633,0.244992631,0.147670349,82.19868992999999
333,0.02875297104,0.0001399949914,0.246113763,0.148531835,82.44480369299998
334,0.02889296603,0.0001400350934,0.24506384,0.14777311399999998,82.68986753299998
335,0.02903300112,0.0001400758887,0.248156643,0.150935763,82.93802417599998
336,0.02917307701,0.0001401190155,0.244737335,0.147885507,83.18276151099998
337,0.02931319602,0.0001401625257,0.245643708,0.14900064600000001,83.42840521899998
338,0.02945335855,0.0001402065671,0.24497813,0.148422508,83.67338334899999
339,0.02959356512,0.0001402516612,0.245081803,0.148148101,83.918465152
340,0.02973381678,0.0001330916106,0.245989775,0.148380709,84.164454927
341,0.02986690839,0.0001330916106,0.24530351,0.148123054,84.409758437
342,0.03,0.0001403923957,0.245148181,0.147862644,84.654906618
343,0.0301403924,0.0001404469145,0.244930627,0.147923424,84.899837245
344,0.03028083931,0.0001405052976,0.256476113,0.148881918,85.156313358
345,0.03042134461,0.00014056711,0.247708402,0.148882697,85.40402176
346,0.03056191172,0.0001405931359,0.245359724,0.148701906,85.649381484
347,0.03070250485,0.0001406194718,0.245147298,0.14802924,85.89452878200001
348,0.03084312433,0.0001406474351,0.245539803,0.148346319,86.14006858500001
349,0.03098377176,0.0001406764219,0.246832609,0.148317025,86.386901194
350,0.03112444818,0.0001407057726,0.245807528,0.14853882899999998,86.632708722
351,0.03126515396,0.0001407358842,0.245727102,0.148459228,86.87843582400001
352,0.03140588984,0.0001407672341,0.246202568,0.149186368,87.12463839200001
353,0.03154665707,0.0001408003221,0.24518305,0.14836146500000003,87.369821442
354,0.0316874574,0.000140835552,0.245694528,0.149095103,87.61551597
